Waterway,Site,Alewife,Banded killifish,Black bullhead,Black crappie,Blackstripe topminnow,Bluegill,Bluntnose minnow,bowfin,brassy minnow,Brook silverside,brook stickleback,brook trout,brown trout,Carp,carp x goldfish,carp x goldfish hybrid,central mudminnow,central stoneroller,Channel catfish,chinook salmon,coho salmon,Creek chub,Emerald shiner,Fathead minnow,flathead catfish,Freshwater drum,Gizzard shad,Golden shiner,Goldfish,grass carp,Grass pickerel,Green sf. x bluegill,green sf. x longear,green sf. x pumpkinseed,Green sunfish,green sunfish x bluegill,green sunfish x orangespotted sunfish,green sunfish x pumpkinseed,hornyhead chub,johnny darter,lake trout,Largemouth bass,largescale stoneroller,longnose dace,mimic shiner,Mosquitofish,mottled sculpin,nile tilapia,ninespine stickleback,Northern pike,orangespotted sunfish,Oriental weatherfish,Pumpkinseed,pumpkinseed x bluegill,rainbow smelt,rainbow trout,Rock bass,rosyface shiner,Round goby,Sand shiner,Smallmouth bass,Spotfin shiner,spottail shiner,spotted sucker,striped bass,Tadpole madtom,threespine stickleback,trout-perch,walleye,warmouth,white bass,White crappie,white perch,White sucker,yellow bass,Yellow bullhead,Yellow perch
Chicago River,1,290,,41,20,,661,972,,,0,0,1,27,169,21,,,,,9,8,,62,10,,,515,38,72,1,,,,,465,4,,2,0,16,3,373,2,,,0,2,0,2,1,10,,52,1,20,8,582,,,1,59,0,59,0,0,0,3,3,0,1,1,,0,0,0,,896
Chicago River,2,0,,0,0,,25,2,,,3,0,,0,12,0,,,,,0,0,,0,,,,160,0,2,,,,,,2,0,,,0,,,14,,,,,,,,,2,,9,2,,,4,,,,8,22,,,,,,,,1,,,0,0,0,,5
Chicago River,3,139,,0,0,,22,31,,,1,1,,5,391,7,,,,,1,1,,19,,,,72,1,64,,,,,,49,1,,,0,,,55,,,,,,,,,,,9,,12,2,18,,,,2,,5,,,,2,,,,,,0,0,0,,479
Chicago River,4,111,,2,4,,141,348,,,,1,,1,525,88,,,,,1,1,,36,3,,1,388,25,277,,,,,,78,1,,,0,,,111,,,,,,,,,2,,20,,2,,15,,,,1,,42,,,,14,,,,1,,10,1,1,,29
Chicago River,5,,,,1,,17,6,,,1,,,,64,,,,,,,,,11,,,1,326,1,1,,,,,,5,,,,0,,,39,,,,,,,,,,,20,,,,3,,1,,3,15,,,,,,,,,,,4,,1,2,
CSSC,6,1,451,,,2,754,735,,,,,,,790,7,,,,29,,,1,18,1,,,1101,373,36,,,,,,161,,,,0,,,25,,,,702,,,,,,38,961,,,,,,25,6,,66,2,,,,,,,,,,4,,11,88,
CSSC,7,12,,37,3,,10,918,,,,2,,,1410,85,,,,,,,1,49,62,,,387,28,2148,,,,,,19,,,,,,,102,,,1,1,,,,,,,9,,20,,,,,,,,33,,,,2,,,,,,,,,1,323
CSSC,8,,550,23,,3,466,958,,,1,,,,471,1,,,,22,,,2,149,16,1,1,2318,373,35,,,,,,134,,,,,,,53,,,,2035,,,,,,5,1223,1,,,,,13,,,80,,,,1,,,,,,1,3,11,2,151,
CSSC,9,13,,6,,,7,1416,,,,,,1,886,30,,2,,,1,,,30,80,,,283,19,1152,,1,,,,7,,,,,,,30,,,,1,,,,,,,26,,4,,1,,,,,1,27,,,,5,,,,,,,3,,4,232
CSSC,10,,,5,1,,6,489,,,,,,,355,8,,3,,,,,,10,277,,,262,,1248,,,,,,19,,,1,,,,31,,,,1,,,,,,,10,,1,,,,,,,,5,,,,,,,,,,,,,1,21
NBCR,11,,11,4,,9,551,115,,,,,,,112,3,,,,2,,,,5,10,,2,196,115,9,,,1,,,126,,,,,,,149,,,,,,,,,,19,29,,,,,,8,1,,72,,,,,,,,,,,,22,,30,
NBCR,12,3,,,2,,35,13,,,,,,,110,2,,,,,,,,15,,,,1013,42,3,,,,,,18,,,,,,,56,,,,,,,,,,,36,,,,1,,,,,70,,,,,,,,,,,19,2,1,3,
NBCR,13,27,,13,2,,82,108,,,,,1,,337,93,,,,,,,,15,4,,,518,9,233,,,,,,34,1,,,,,,93,,,,,,,,,1,,4,1,2,4,1,,,,,,15,,,,62,,,,,,3,,,1,197
NBCR,14,,,1,1,,5,,,,,,,,4,6,,,,,,,,,,,,,36,2,,,,,,,,,,,,,4,,,,,,,,,,1,1,,,,,,,,,,6,,,,,,,,,,,2,,,
NBCR,15,,3,,1,27,194,35,,,,,,,10,,,1,,1,,,,,7,,,24,4,,,,,,,37,,,,,,,10,,,,,,,,,,1,,,,,,2,11,,,4,,,,,,,,,,,,75,,20,
NSC,16,11,,25,9,,297,270,1,,,29,,,273,84,,1,,1,,,,5,45,,,375,103,455,,,,,,236,5,1,5,,,,149,,,,,,,,,13,1,13,1,,,1,,,,,,17,,,,1,,,,,,,13,,2,100
NSC,17,87,,46,25,,145,165,,,,60,,,167,113,,1,,2,,1,,,321,,,2209,526,329,,,,,,107,3,,2,,,,101,,3,,,,,,,16,1,12,,,1,2,,,,,1,138,,,,2,,,,,,,46,,,123
NSC,18,41,11,,21,9,386,160,,,,,,,416,3,,,,19,,,,2,241,,,2304,871,15,,,,,,26,,,,,,,183,,,,,,,,2,,1,164,,,,8,,12,,,235,29,,,,,,1,,,,1,54,,7,
NSC,19,115,,198,31,,255,753,,1,,274,,,211,286,,,,,1,,,,3940,,,270,888,1644,,,,,,372,4,,3,,,,124,,,,,,5,1,,19,8,88,2,27,1,4,,,,,,126,,,,3,,,,,,,19,,1,1625
NSC,20,2441,,126,33,,375,17695,,,9,767,2,28,384,149,,1,,2,5,4,,22,5139,,,224,977,1109,,2,,,,853,7,,9,1,1,1,305,,6,,,4,,27,1,34,,105,3,1950,14,64,,,1,,,710,,,,18,,,,,1,,30,,4,1924
SBCR,21,,,,,,1,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBCR,22,65,,189,6,,100,515,,,,,,,1046,38,,2,,,,,,60,24,,,221,119,945,,,,,,27,1,,,,,,163,,,,,,,,,2,,23,1,46,2,,,,,,,15,,,,2,,,,,,,1,1,,308
SBCR,23,1,4,1,3,,320,280,,,,,,,212,4,,,,7,,,,37,1,,1,694,344,6,,,2,,4,63,,,,,1,,145,,,,1,,,,,,,83,1,,,,,12,1,,54,,,,,,,,1,,2,,1,,10,
SBCR,24,1,,,1,,7,1,,,,,,,26,,,,,,,,,79,,,,74,11,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,2,201,,,,,,,,,,,1,,,,
